experiment,loss_name,residual,cbam,augmentation,aspp,deep_supervision,parameters,best_epoch,training_minutes,test_dice_all,test_dice_tumor,test_dice_empty,test_iou_tumor,test_precision_all,test_recall_tumor,test_specificity_all,test_empty_false_positive_rate
residual_cbam_unet_aug_aspp_ds,dice_focal,True,True,True,True,True,5940597,11,8.969397111733754,0.8555546402931213,0.810327410697937,0.8810572624206543,0.7163417339324951,0.8612209558486938,0.8627640008926392,0.99795663356781,0.1189427301287651
residual_cbam_unet_aug_ds_only,dice_focal,True,True,True,False,True,8169845,15,10.563338700930275,0.9018176198005676,0.805822491645813,0.9559471607208252,0.7121225595474243,0.9255006313323976,0.8092640042304993,0.9987894296646118,0.0440528616309165
residual_cbam_unet_aug,dice_focal,True,True,True,True,True,5940597,9,8.046744032700856,0.830394983291626,0.8030486106872559,0.8458150029182434,0.7005764245986938,0.8284065127372742,0.8726517558097839,0.9969139695167542,0.1541850268840789
residual_cbam_unet_aug_no_aspp_no_ds,dice_focal,True,True,True,False,False,8169651,23,13.64934111436208,0.8833172917366028,0.8013874888420105,0.9295154213905334,0.7035675644874573,0.8886751532554626,0.8633170127868652,0.9975787997245787,0.0704845786094665
residual_cbam_unet_aug_aspp_only,dice_focal,True,True,True,True,False,5940403,24,14.13539448181788,0.8974892497062683,0.7938178777694702,0.9559471607208252,0.6986954212188721,0.9189484119415284,0.8188139796257019,0.9984312057495116,0.0440528616309165
residual_cbam_unet_aug_dice_focal_tversky,dice_focal_tversky,True,True,True,True,True,5940597,14,10.234800231456756,0.8600059151649475,0.7914226055145264,0.8986784219741821,0.6967109441757202,0.8643174767494202,0.864100456237793,0.9968321919441224,0.1013215854763984
