experiment,loss_name,test_dice_tumor,test_iou_tumor,test_precision_all,test_recall_tumor,test_specificity_all,test_empty_false_positive_rate
residual_cbam_unet_aug,dice_focal,0.8030486106872559,0.7005764245986938,0.8284065127372742,0.8726517558097839,0.9969139695167542,0.1541850268840789
residual_cbam_unet_aug_dice_focal_tversky,dice_focal_tversky,0.7914226055145264,0.6967109441757202,0.8643174767494202,0.864100456237793,0.9968321919441224,0.1013215854763984
residual_cbam_unet_aug_aspp_ds,dice_focal,0.810327410697937,0.7163417339324951,0.8612209558486938,0.8627640008926392,0.99795663356781,0.1189427301287651
